Date,Open,High,Low,Close,Adj Close,Volume
2/5/2018,12.6,12.92,12.6,12.64,12.352453,2784149
3/5/2018,12.7,12.8,12.54,12.74,12.450177,2727553
4/5/2018,12.72,12.78,12.38,12.4,12.117912,2693000
7/5/2018,12.4,12.8,12.3,12.44,12.157001,2351100
8/5/2018,12.56,12.56,12.42,12.5,12.215637,1477076
9/5/2018,12.66,12.88,12.64,12.86,12.567447,7767660
10/5/2018,12.88,13.06,12.82,12.96,12.665173,4789021
11/5/2018,12.98,13.2,12.98,13.14,12.841078,2876654
14/5/2018,13.16,13.9,13.12,13.3,12.997438,3929714
15/5/2018,13.3,13.36,13.2,13.28,12.977893,2138218
16/5/2018,13.2,13.26,13.06,13.2,12.899713,4244076
17/5/2018,13.28,13.32,13.04,13.06,12.762897,1417500
18/5/2018,13.1,13.18,12.82,12.9,12.606538,2766000
21/5/2018,13,13.08,12.9,12.9,12.606538,1402000
23/5/2018,12.94,13,12.82,12.84,12.547903,2993300
24/5/2018,12.82,12.94,12.8,12.92,12.626083,4856048
25/5/2018,12.8,12.96,12.8,12.94,12.645627,1616310
28/5/2018,13.02,13.32,13.02,13.28,12.977893,3500000
29/5/2018,13.24,13.24,13.06,13.2,12.899713,1564000
30/5/2018,13.04,13.04,12.78,12.8,12.508812,3217000
31/5/2018,12.96,12.96,12.7,12.78,12.489267,2778968
1/6/2018,12.78,12.86,12.68,12.74,12.450177,1048000
4/6/2018,12.76,12.9,12.76,12.84,12.547903,966000
5/6/2018,12.82,13.3,12.82,13.28,12.977893,3679316
6/6/2018,13.24,13.66,13.2,13.56,13.251523,5110000
7/6/2018,13.64,13.8,13.44,13.64,13.329703,4955070
8/6/2018,13.66,13.68,13.36,13.56,13.251523,2100500
11/6/2018,13.5,13.9,13.5,13.78,13.466518,5586000
12/6/2018,13.78,13.86,13.58,13.7,13.388338,2757685
13/6/2018,13.6,13.8,13.5,13.76,13.446974,3406564
14/6/2018,13.78,13.92,13.6,13.86,13.544699,5716695
15/6/2018,13.84,13.84,13.52,13.58,13.271069,3160363
19/6/2018,13.5,13.76,13.12,13.3,12.997438,5634046
20/6/2018,13.22,13.56,13.22,13.46,13.153798,4346216
21/6/2018,13.42,13.42,13.08,13.14,12.841078,2692000
22/6/2018,13.02,13.12,12.94,13.06,12.762897,2344263
25/6/2018,13.36,13.36,12.94,13,12.704263,1770000
26/6/2018,13.18,13.18,12.72,12.86,12.567447,5372400
27/6/2018,12.96,13,12.56,12.6,12.313363,6030000
28/6/2018,12.72,12.72,12.28,12.34,12.059278,8215000
29/6/2018,12.5,12.5,12.22,12.34,12.059278,3031258
3/7/2018,12.38,12.38,11.96,12.22,11.942008,3756000
4/7/2018,12.06,12.3,12,12.06,11.785647,1620000
5/7/2018,12.06,12.14,11.98,12.1,11.824737,1399719
6/7/2018,12.14,12.14,11.88,12.04,11.766102,2587356
9/7/2018,12.12,12.34,12.04,12.24,11.961552,4186337
10/7/2018,12.36,12.48,12.28,12.3,12.020187,1323100
11/7/2018,12.16,12.18,11.92,12.08,11.805192,1447896
12/7/2018,12.08,12.62,12.08,12.48,12.196092,3628971
13/7/2018,12.5,12.5,12.38,12.42,12.137457,1203009
16/7/2018,12.5,12.5,12.04,12.26,11.981097,1210000
17/7/2018,12.26,12.38,12.06,12.38,12.098368,1471000
18/7/2018,12.38,12.48,12.02,12.22,11.942008,3074502
19/7/2018,12.3,12.3,12.06,12.12,11.844281,1199000
20/7/2018,12.16,12.2,12,12.16,11.883371,2616496
23/7/2018,12.24,12.24,12,12.08,11.805192,1609072
24/7/2018,12.08,12.12,11.96,11.96,11.687922,4907234
25/7/2018,12.08,12.1,12,12.08,11.805192,2771000
26/7/2018,12.16,12.16,11.88,11.88,11.609742,3016400
27/7/2018,11.88,11.94,11.82,11.88,11.609742,1719650
30/7/2018,11.92,12.02,11.86,11.9,11.629287,1598500
31/7/2018,12,12.16,11.92,12.12,11.844281,2470360
1/8/2018,12.16,12.28,12.14,12.16,11.883371,2733000
2/8/2018,12.14,12.2,11.86,12.04,11.766102,2232250
3/8/2018,12.04,12.04,11.86,11.88,11.609742,1396163
6/8/2018,12,12,11.86,11.88,11.609742,4359164
7/8/2018,11.88,12.1,11.84,12.08,11.805192,2614180
8/8/2018,12.1,12.18,11.68,11.86,11.590196,6044000
9/8/2018,11.98,12.7,11.86,12.56,12.274273,8995994
10/8/2018,12.7,12.7,12.28,12.34,12.059278,2738391
13/8/2018,12.34,12.34,12.16,12.2,11.922462,2820380
14/8/2018,12.32,12.32,11.88,12.02,11.746557,2343000
15/8/2018,12.06,12.06,11.78,11.86,11.590196,3428295
16/8/2018,11.8,12.02,11.76,11.94,11.668376,1674968
17/8/2018,12.08,12.08,11.76,11.94,11.668376,850000
20/8/2018,11.94,12.14,11.88,12,11.727012,1753000
21/8/2018,12,12.36,12,12.26,11.981097,3234795
22/8/2018,12.26,12.34,12.14,12.32,12.039732,1675034
23/8/2018,12.24,12.28,12,12.04,11.766102,2253000
24/8/2018,11.96,11.98,11.82,11.9,11.629287,1302400
27/8/2018,11.92,12.1,11.82,11.86,11.590196,3407855
28/8/2018,11.94,11.94,11.76,11.8,11.531562,5303680
29/8/2018,11.86,12,11.7,11.86,11.590196,2760956
30/8/2018,11.78,11.88,11.74,11.82,11.551106,654018
31/8/2018,11.78,11.78,11.66,11.7,11.433837,1860084
3/9/2018,11.78,11.82,11.66,11.7,11.433837,1025044
4/9/2018,11.74,11.84,11.72,11.76,11.492472,731244
5/9/2018,11.76,11.76,11.46,11.52,11.354484,1407500
6/9/2018,11.52,11.58,11.4,11.42,11.255919,1320400
7/9/2018,11.46,11.5,11.32,11.4,11.236206,1258483
10/9/2018,11.42,11.44,11.22,11.36,11.196781,2150407
11/9/2018,11.36,11.44,11.14,11.3,11.137644,2577185
